time,wx (rad/s),wy (rad/s),wz (rad/s)
1.046130,0.70,0.77,2.63
1.046920,0.71,0.92,2.58
1.055851,0.72,1.06,2.53
1.056561,0.72,1.20,2.48
1.056940,0.73,1.33,2.43
1.057390,0.74,1.47,2.38
1.058295,0.75,1.61,2.33
1.060667,0.75,1.75,2.27
1.071962,0.75,1.88,2.22
1.072753,0.75,2.01,2.16
1.073393,0.75,2.12,2.10
1.074233,0.73,2.23,2.05
1.074800,0.72,2.33,1.99
1.075527,0.71,2.41,1.94
1.091031,0.70,2.50,1.88
1.092063,0.68,2.59,1.83
1.092563,0.67,2.68,1.78
1.093165,0.65,2.78,1.72
1.093813,0.63,2.88,1.67
1.094269,0.62,2.97,1.61
1.094728,0.60,3.09,1.56
1.095416,0.58,3.25,1.49
1.105139,0.55,3.39,1.44
1.105833,0.53,3.50,1.40
1.106294,0.51,3.59,1.36
1.106933,0.50,3.68,1.34
1.107987,0.49,3.72,1.32
1.121480,0.50,3.74,1.32
1.122381,0.51,3.77,1.31
1.122946,0.52,3.81,1.30
1.123371,0.55,3.85,1.28
1.123783,0.58,3.90,1.26
1.124192,0.60,3.98,1.22
1.139910,0.59,4.17,1.15
1.140647,0.58,4.33,1.10
1.141163,0.57,4.42,1.05
1.141672,0.58,4.47,1.03
1.142122,0.58,4.50,1.02
1.142556,0.59,4.51,1.00
1.142988,0.59,4.51,0.99
1.143403,0.61,4.51,0.98
1.154589,0.64,4.50,0.97
1.154998,0.69,4.50,0.96
1.155265,0.75,4.49,0.96
1.155643,0.81,4.47,0.97
1.155899,0.87,4.43,0.98
1.156923,0.93,4.38,0.99
1.170303,1.00,4.33,1.00
1.170906,1.05,4.29,1.01
1.171437,1.11,4.25,1.01
1.171997,1.15,4.22,1.01
1.172469,1.20,4.21,1.01
1.172950,1.24,4.19,1.00
1.174532,1.28,4.18,1.00
1.189480,1.32,4.17,1.00
1.190369,1.36,4.15,0.99
1.190940,1.39,4.13,0.98
1.191403,1.41,4.12,0.97
1.191842,1.43,4.11,0.97
1.192266,1.44,4.11,0.96
1.192594,1.44,4.11,0.96
1.203996,1.44,4.11,0.96
1.204554,1.44,4.11,0.97
1.204860,1.44,4.10,0.98
1.205328,1.44,4.10,0.98
1.205677,1.43,4.10,0.99
1.206329,1.43,4.11,0.99
1.227689,1.42,4.12,0.99
1.228694,1.42,4.13,0.99
