time,wx (rad/s),wy (rad/s),wz (rad/s)
1.387604,-0.01,-0.01,0.01
1.390271,-0.01,-0.01,0.01
1.392917,-0.01,-0.01,0.01
1.394983,-0.01,-0.01,0.01
1.398548,-0.00,-0.00,0.01
1.400100,-0.01,-0.00,0.00
1.402967,-0.01,0.00,0.00
1.405050,-0.01,0.00,0.00
1.407385,-0.00,0.00,0.00
1.410116,-0.00,0.01,0.00
1.418971,-0.01,0.01,-0.01
1.422029,-0.01,0.00,-0.01
1.422647,-0.00,0.00,-0.01
1.423033,-0.00,0.01,-0.01
1.423398,-0.01,0.01,-0.01
1.425257,-0.01,0.01,-0.02
1.427195,-0.01,0.00,-0.02
1.432278,-0.01,0.00,-0.03
1.432715,-0.01,0.00,-0.03
1.434676,-0.02,-0.00,-0.02
1.437782,-0.02,-0.01,-0.03
1.439422,-0.02,-0.01,-0.03
1.442584,-0.02,-0.01,-0.03
1.444510,-0.03,-0.02,-0.03
1.447504,-0.03,-0.02,-0.02
1.449471,-0.04,-0.02,-0.02
1.451969,-0.04,-0.02,-0.02
1.454311,-0.04,-0.01,-0.02
1.456672,-0.05,-0.01,-0.02
1.459183,-0.05,-0.00,-0.01
1.463661,-0.06,-0.00,-0.01
1.464126,-0.06,0.00,-0.02
1.466617,-0.06,0.01,-0.02
1.469006,-0.07,0.01,-0.02
1.471515,-0.07,0.02,-0.02
1.474495,-0.07,0.02,-0.02
1.476627,-0.07,0.03,-0.02
1.480107,-0.07,0.04,-0.03
1.482362,-0.07,0.04,-0.03
1.484040,-0.06,0.04,-0.03
1.486433,-0.06,0.04,-0.03
1.488766,-0.06,0.04,-0.03
1.491191,-0.06,0.04,-0.03
1.493689,-0.06,0.04,-0.03
1.496869,-0.05,0.03,-0.03
1.498917,-0.05,0.03,-0.02
1.501763,-0.04,0.03,-0.02
1.503631,-0.04,0.02,-0.02
1.506613,-0.03,0.02,-0.01
1.508499,-0.02,0.01,-0.01
1.511244,-0.02,0.01,-0.00
1.516641,-0.01,0.00,0.00
1.517084,-0.01,-0.00,0.00
1.518551,-0.00,-0.01,0.01
1.521356,0.00,-0.02,0.01
1.523549,0.01,-0.02,0.01
1.525759,0.02,-0.02,0.01
1.528954,0.02,-0.03,0.02
1.534685,0.02,-0.03,0.02
1.535133,0.02,-0.03,0.02
1.536084,0.03,-0.03,0.02
1.538361,0.03,-0.03,0.02
1.541015,0.03,-0.02,0.02
1.543141,0.03,-0.03,0.02
1.548707,0.03,-0.03,0.02
1.549096,0.04,-0.02,0.02
1.551100,0.04,-0.02,0.02
1.553065,0.03,-0.02,0.01
1.556211,0.03,-0.01,0.02
1.557957,0.03,-0.01,0.01
1.561677,0.03,-0.01,0.02
1.564983,0.03,-0.00,0.02
1.565452,0.03,0.00,0.02
1.572704,0.03,0.00,0.02
1.573057,0.02,0.00,0.01
1.573264,0.02,0.01,0.02
1.575288,0.02,0.01,0.02
1.577786,0.02,0.01,0.02
1.580649,0.02,0.01,0.02
1.583095,0.02,0.01,0.02
1.585662,0.02,0.01,0.01
1.587750,0.02,0.01,0.01
1.590235,0.02,0.00,0.02
1.592799,0.02,0.01,0.02
1.596497,0.02,0.01,0.02
1.597579,0.02,0.01,0.01
1.601145,0.02,0.01,0.01
1.602617,0.02,0.01,0.01
1.604964,0.02,0.01,0.01
1.607534,0.03,0.01,0.01
1.610355,0.03,0.01,0.01
1.613575,0.03,0.01,0.01
1.614928,0.03,0.01,0.01
1.617704,0.03,0.01,0.00
1.620227,0.03,0.02,-0.00
1.622218,0.03,0.02,-0.01
1.624565,0.03,0.01,-0.01
1.627001,0.03,0.01,-0.02
1.629495,0.03,0.01,-0.02
1.631992,0.03,0.01,-0.02
1.634738,0.03,0.00,-0.03
1.636892,0.03,0.00,-0.03
1.639786,0.03,-0.00,-0.03
1.642468,0.03,0.00,-0.03
1.644478,0.03,0.00,-0.03
1.647192,0.03,-0.00,-0.03
1.649502,0.03,-0.00,-0.03
1.652007,0.02,-0.00,-0.03
1.654410,0.02,-0.00,-0.03
1.657070,0.02,-0.00,-0.03
1.659726,0.02,-0.01,-0.03
1.662912,0.01,-0.01,-0.03
1.664788,0.01,-0.02,-0.02
1.666722,0.00,-0.02,-0.02
1.669327,0.00,-0.02,-0.02
